LF_hip_tau_ff,LF_thigh_tau_ff,LF_calf_tau_ff,RF_hip_tau_ff,RF_thigh_tau_ff,RF_calf_tau_ff,LR_hip_tau_ff,LR_thigh_tau_ff,LR_calf_tau_ff,RR_hip_tau_ff,RR_thigh_tau_ff,RR_calf_tau_ff,LF_hip_tau_actual,LF_thigh_tau_actual,LF_calf_tau_actual,RF_hip_tau_actual,RF_thigh_tau_actual,RF_calf_tau_actual,LR_hip_tau_actual,LR_thigh_tau_actual,LR_calf_tau_actual,RR_hip_tau_actual,RR_thigh_tau_actual,RR_calf_tau_actual,LF_hip_q_des,LF_thigh_q_des,LF_calf_q_des,RF_hip_q_des,RF_thigh_q_des,RF_calf_q_des,LR_hip_q_des,LR_thigh_q_des,LR_calf_q_des,RR_hip_q_des,RR_thigh_q_des,RR_calf_q_des,LF_hip_q,LF_thigh_q,LF_calf_q,RF_hip_q,RF_thigh_q,RF_calf_q,LR_hip_q,LR_thigh_q,LR_calf_q,RR_hip_q,RR_thigh_q,RR_calf_q,LF_hip_qd_des,LF_thigh_qd_des,LF_calf_qd_des,RF_hip_qd_des,RF_thigh_qd_des,RF_calf_qd_des,LR_hip_qd_des,LR_thigh_qd_des,LR_calf_qd_des,RR_hip_qd_des,RR_thigh_qd_des,RR_calf_qd_des,LF_hip_qd,LF_thigh_qd,LF_calf_qd,RF_hip_qd,RF_thigh_qd,RF_calf_qd,LR_hip_qd,LR_thigh_qd,LR_calf_qd,RR_hip_qd,RR_thigh_qd,RR_calf_qd
0,0,0,0,0,0,0,0,0,0,0,0,-0.578695,-2.38123,-9.507,0.882123,-1.22642,-9.44783,-3.9789,0.963893,-11.5897,3.57371,2.15582,-10.2726,0.018154,-0.854729,1.32366,-0.00236249,-0.814161,1.32327,-0.085059,-0.727351,1.25305,0.0748348,-0.685425,1.29425,0.035531,-0.784397,1.6493,-0.0318963,-0.783266,1.64739,0.0469528,-0.775017,1.65895,-0.0445621,-0.773817,1.65682,0,0,0,0,0,0,0,0,0,0,0,0,0.137512,0.675095,-0.637652,0.0167965,0.744077,-0.668703,0.0405698,1.1599,-1.45778,0.0237222,1.23614,-1.50391
0,0,0,0,0,0,0,0,0,0,0,0,-0.590065,-2.44749,-9.45025,0.877616,-1.29887,-9.38935,-3.98064,0.850044,-11.4482,3.57005,2.03369,-10.1251,0.018154,-0.854729,1.32366,-0.00236249,-0.814161,1.32327,-0.085059,-0.727351,1.25305,0.0748348,-0.685425,1.29425,0.0358153,-0.78295,1.64795,-0.0318506,-0.781674,1.64598,0.0470288,-0.772536,1.65584,-0.0445077,-0.771169,1.6536,0,0,0,0,0,0,0,0,0,0,0,0,0.142164,0.723579,-0.674647,0.0228374,0.795952,-0.704583,0.0380089,1.24091,-1.55838,0.0272031,1.32387,-1.61018
0,0,0,0,0,0,0,0,0,0,0,0,-0.600921,-2.51514,-9.39127,0.873225,-1.37257,-9.32914,-3.98164,0.735085,-11.3044,3.56667,1.91039,-9.9754,0.018154,-0.854729,1.32366,-0.00236249,-0.814161,1.32327,-0.085059,-0.727351,1.25305,0.0748348,-0.685425,1.29425,0.0361061,-0.781412,1.64652,-0.0317947,-0.779986,1.64451,0.0470976,-0.769906,1.65253,-0.0444483,-0.768362,1.65018,0,0,0,0,0,0,0,0,0,0,0,0,0.145364,0.769123,-0.711854,0.027948,0.844253,-0.739905,0.0343964,1.31475,-1.65196,0.0296997,1.40378,-1.7087
0,0,0,0,0,0,0,0,0,0,0,0,-0.611243,-2.58406,-9.32996,0.868993,-1.44737,-9.26708,-3.9819,0.619284,-11.1585,3.56364,1.78621,-9.82362,0.018154,-0.854729,1.32366,-0.00236249,-0.814161,1.32327,-0.085059,-0.727351,1.25305,0.0748348,-0.685425,1.29425,0.0364005,-0.779788,1.64502,-0.0317304,-0.778208,1.64296,0.0471573,-0.767143,1.64905,-0.0443858,-0.765409,1.64658,0,0,0,0,0,0,0,0,0,0,0,0,0.147241,0.811785,-0.749422,0.0321674,0.889118,-0.774898,0.0298388,1.38167,-1.73885,0.0312488,1.47619,-1.79983
0,0,0,0,0,0,0,0,0,0,0,0,-0.621016,-2.6541,-9.26621,0.864954,-1.52315,-9.20309,-3.98141,0.502924,-11.0107,3.56099,1.66144,-9.67007,0.01222,-0.848311,1.315,-0.0163013,-0.801966,1.28841,-0.0933779,-0.70404,1.22308,0.0781857,-0.644948,1.31927,0.0366964,-0.778085,1.64345,-0.0316593,-0.776346,1.64134,0.0472061,-0.764259,1.64542,-0.044322,-0.762327,1.64282,0,0,0,0,0,0,0,0,0,0,0,0,0.147913,0.851613,-0.787455,0.0355451,0.930658,-0.809743,0.0244395,1.4419,-1.81934,0.0318977,1.54138,-1.88389
0,0,0,0,0,0,0,0,0,0,0,0,-0.808247,-2.53257,-9.45981,0.442968,-1.23393,-10.183,-4.22974,1.08563,-11.7605,3.65928,2.75067,-8.76458,0.01222,-0.848311,1.315,-0.0163013,-0.801966,1.28841,-0.0933779,-0.70404,1.22308,0.0781857,-0.644948,1.31927,0.0369184,-0.776266,1.64177,-0.0316651,-0.774378,1.63963,0.0471813,-0.761191,1.64154,-0.044318,-0.75909,1.63888,0,0,0,0,0,0,0,0,0,0,0,0,0.111034,0.909744,-0.841928,-0.00289597,0.983947,-0.853113,-0.0124179,1.53425,-1.93972,0.00199154,1.61813,-1.9705
0,0,0,0,0,0,0,0,0,0,0,0,-0.79647,-2.61622,-9.38205,0.462363,-1.31961,-10.1101,-4.21057,0.947397,-11.5839,3.67412,2.6152,-8.60305,0.01222,-0.848311,1.315,-0.0163013,-0.801966,1.28841,-0.0933779,-0.70404,1.22308,0.0781857,-0.644948,1.31927,0.0370718,-0.774338,1.63997,-0.0317401,-0.772314,1.63784,0.0470875,-0.757957,1.63744,-0.0443693,-0.755717,1.63477,0,0,0,0,0,0,0,0,0,0,0,0,0.0766774,0.963628,-0.895509,-0.0375199,1.03241,-0.894739,-0.0468899,1.61675,-2.04966,-0.0256431,1.68686,-2.05101
0,0,0,0,0,0,0,0,0,0,0,0,-0.783892,-2.70098,-9.30153,0.481926,-1.40579,-10.0356,-4.19052,0.809142,-11.406,3.68947,2.47962,-8.43974,0.01222,-0.848311,1.315,-0.0163013,-0.801966,1.28841,-0.0933779,-0.70404,1.22308,0.0781857,-0.644948,1.31927,0.0371616,-0.772312,1.63808,-0.0318772,-0.770161,1.63597,0.0469298,-0.754577,1.63314,-0.0444711,-0.752221,1.63052,0,0,0,0,0,0,0,0,0,0,0,0,0.0449112,1.01339,-0.948328,-0.0685078,1.07644,-0.935205,-0.0788449,1.68993,-2.14978,-0.050918,1.74796,-2.12559
0,0,0,0,0,0,0,0,0,0,0,0,-0.770703,-2.78667,-9.21822,0.50153,-1.49239,-9.95928,-4.16981,0.671159,-11.227,3.70516,2.3442,-8.27491,0.01222,-0.848311,1.315,-0.0163013,-0.801966,1.28841,-0.0933779,-0.70404,1.22308,0.0781857,-0.644948,1.31927,0.0371932,-0.770193,1.63608,-0.0320692,-0.767928,1.63402,0.0467134,-0.751069,1.62866,-0.0446187,-0.748617,1.62613,0,0,0,0,0,0,0,0,0,0,0,0,0.0157795,1.05914,-1.00049,-0.0960156,1.11638,-0.974996,-0.108188,1.75423,-2.24061,-0.0737762,1.80173,-2.19435
0,0,0,0,0,0,0,0,0,0,0,0,-0.757084,-2.87309,-9.13211,0.521045,-1.57934,-9.88089,-4.14865,0.533751,-11.0471,3.72102,2.20921,-8.10887,0.01222,-0.848311,1.315,-0.0163013,-0.801966,1.28841,-0.0933779,-0.70404,1.22308,0.0781857,-0.644948,1.31927,0.0371718,-0.767991,1.63397,-0.0323096,-0.765623,1.63199,0.0464437,-0.747449,1.62401,-0.0448071,-0.74492,1.62162,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106986,1.10097,-1.05207,-0.120184,1.15248,-1.01449,-0.13486,1.81007,-2.32261,-0.0941883,1.84844,-2.25739
